time;ahrsDataKalman.angData[0];ahrsDataKalman.angData[1];ahrsDataKalman.angData[2];ahrsDataMahony.angData[0];ahrsDataMahony.angData[1];ahrsDataMahony.angData[2]
2024-09-08-01:09:18.219427;-0.00632446289062516;-0.3898168945312501;0.0;-0.0005749511718748934;-0.3564697265625001;-0.009390869140625036;
2024-09-08-01:09:18.221106;-0.007857666015624876;-0.390391845703125;0.0;-0.0005749511718748934;-0.35493652343749993;-0.009390869140625036;
2024-09-08-01:09:18.223692;-0.006899414062500053;-0.39307495117187496;0.0;-0.00038330078124992895;-0.352061767578125;-0.009390869140625036;
2024-09-08-01:09:18.225245;-0.004407958984375071;-0.39403320312500023;0.0;-0.00038330078124992895;-0.3491870117187501;-0.009390869140625036;
2024-09-08-01:09:18.227775;-0.00019165039062496447;-0.39269165039062504;0.0;-0.00019165039062496447;-0.34765380859374995;-0.009390869140625036;
2024-09-08-01:09:18.229484;0.005366210937499893;-0.3894335937500002;0.0;0.0;-0.34458740234375007;-0.009390869140625036;
2024-09-08-01:09:18.233735;0.01724853515624991;-0.3815759277343749;0.0;0.00019165039062496447;-0.33998779296875004;-0.009390869140625036;
2024-09-08-01:09:18.238118;0.023764648437500036;-0.3790844726562499;0.0;0.00038330078124992895;-0.3367297363281252;-0.00958251953125;
2024-09-08-01:09:18.239173;0.026256103515625018;-0.371226806640625;0.0;0.0005749511718748934;-0.3334716796874999;-0.00958251953125;
2024-09-08-01:09:18.240141;0.028939208984374964;-0.3677770996093752;0.0;0.0007666015624998579;-0.3319384765625002;-0.009774169921874964;
2024-09-08-01:09:18.242208;0.030855712890625053;-0.3624108886718749;0.0;0.0009582519531248224;-0.32848876953124995;-0.009774169921874964;
2024-09-08-01:09:18.246407;0.029322509765624893;-0.3581945800781252;0.0;0.0009582519531248224;-0.3252307128906251;-0.009965820312499929;
2024-09-08-01:09:18.247198;0.028172607421875107;-0.35378662109375014;0.0;0.0011499023437497868;-0.323505859375;-0.009965820312499929;
